submissionId	country	date	genotype	season	switchseason	switch	seltype
MZ516060.1	Netherlands	2018-01-10	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515663.1	Netherlands	2018-01-11	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515697.1	Netherlands	2018-01-11	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516034.1	Netherlands	2018-01-11	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515789.1	Netherlands	2018-01-12	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376317.1	Netherlands	2018-01-14	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OK299868.1	Netherlands	2018-01-14	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP377220.1	Netherlands	2018-01-15	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299757.1	Netherlands	2018-01-15	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515955.1	Netherlands	2018-01-15	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515862.1	Netherlands	2018-01-16	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376629.1	Netherlands	2018-01-16	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OK299949.1	Netherlands	2018-01-16	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OK299787.1	Netherlands	2018-01-17	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376921.1	Netherlands	2018-01-17	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515641.1	Netherlands	2018-01-18	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515995.1	Netherlands	2018-01-18	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515818.1	Netherlands	2018-01-18	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595320.2	Kenya	2018-01-19	RSVA	2018	2018	RSVB->RSVA	replication
MZ515826.1	Netherlands	2018-01-19	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515932.1	Netherlands	2018-01-19	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MW678330.1	Thailand	2018-01-21	RSVB	2018	2018	RSVB->RSVA	evasion
MZ515996.1	Netherlands	2018-01-22	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516050.1	Netherlands	2018-01-24	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595321.2	Kenya	2018-01-25	RSVA	2018	2018	RSVB->RSVA	replication
OK299765.1	Netherlands	2018-01-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515787.1	Netherlands	2018-01-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377024.1	Netherlands	2018-01-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377025.1	Netherlands	2018-01-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515565.1	Netherlands	2018-01-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299585.1	Netherlands	2018-01-25	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299938.1	Netherlands	2018-01-26	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515620.1	Netherlands	2018-01-26	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP376435.1	Netherlands	2018-01-26	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515736.1	Netherlands	2018-01-26	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515611.1	Netherlands	2018-01-26	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ516055.1	Netherlands	2018-01-29	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
PP377511.1	Netherlands	2018-01-29	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OK299869.1	Netherlands	2018-01-29	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515644.1	Netherlands	2018-01-29	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515805.1	Netherlands	2018-01-29	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515659.1	Netherlands	2018-01-30	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ515552.1	Netherlands	2018-01-30	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515625.1	Netherlands	2018-01-30	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595322.2	Kenya	2018-01-31	RSVA	2018	2018	RSVB->RSVA	replication
MZ515798.1	Netherlands	2018-01-31	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515982.1	Netherlands	2018-01-31	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376264.1	Netherlands	2018-02-01	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
OK299776.1	Netherlands	2018-02-01	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299608.1	Netherlands	2018-02-01	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
MZ515703.1	Netherlands	2018-02-02	RSVA	2017-2018	2017-2018	RSVA->RSVB	evasion
MZ516084.1	Netherlands	2018-02-02	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OK299758.1	Netherlands	2018-02-02	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP376959.1	Netherlands	2018-02-02	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595323.2	Kenya	2018-02-03	RSVA	2018	2018	RSVB->RSVA	replication
OQ595324.2	Kenya	2018-02-06	RSVA	2018	2018	RSVB->RSVA	replication
OQ595325.2	Kenya	2018-02-08	RSVA	2018	2018	RSVB->RSVA	replication
MZ515865.1	Netherlands	2018-02-08	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
PP377142.1	Netherlands	2018-02-08	RSVB	2017-2018	2017-2018	RSVA->RSVB	replication
OQ595326.2	Kenya	2018-02-09	RSVA	2018	2018	RSVB->RSVA	replication
