"name"	"date"	"continent"	"country"	"region"	"agestr"	"specimen"	"age"	"agecat"
"hRSV/A/Japan/UMC-810103015/2019"	2019-09-12	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Taiwan/UMC-886103001/2019"	2019-10-11	"Asia"	"Taiwan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103036/2019"	2019-12-04	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810103034/2019"	2019-11-01	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810020039/2018"	2018-08-13	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103051/2019"	2019-12-18	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103059/2020"	2020-01-20	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810102016/2018"	2018-07-20	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102070/2018"	2018-10-19	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102055/2018"	2018-09-04	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102009/2018"	2018-07-17	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810020038/2018"	2018-08-13	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102075/2018"	2018-11-16	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103060/2020"	2020-01-30	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102006/2018"	2018-07-15	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810103009/2019"	2019-09-02	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810101012/2018"	2018-01-25	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103030/2019"	2019-10-24	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102027/2018"	2018-07-29	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102024/2018"	2018-07-27	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102073/2018"	2018-11-05	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103035/2019"	2019-12-04	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Taiwan/UMC-886103002/2019"	2019-10-14	"Asia"	"Taiwan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810103008/2019"	2019-09-02	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103005/2020"	2020-02-27	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/A/South Korea/UMC-820103052/2019"	2019-12-18	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102029/2018"	2018-07-30	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810101004/2017"	2017-12-15	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/South Korea/UMC-820103050/2019"	2019-12-18	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102014/2018"	2018-07-18	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Taiwan/UMC-886103008/2019"	2019-10-25	"Asia"	"Taiwan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103021/2019"	2019-10-02	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103048/2020"	2020-01-27	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102052/2018"	2018-09-03	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/South Korea/UMC-820103033/2019"	2019-12-04	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102017/2018"	2018-07-20	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103054/2020"	2020-01-06	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102032/2018"	2018-08-01	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810101011/2018"	2018-01-21	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810101024/2018"	2018-04-11	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102057/2018"	2018-09-04	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103043/2019"	2019-12-11	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103002/2019"	2019-08-20	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103041/2019"	2019-12-04	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102030/2018"	2018-07-30	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103049/2020"	2020-01-28	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Taiwan/UMC-886103015/2019"	2019-12-10	"Asia"	"Taiwan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810102042/2018"	2018-08-17	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102021/2018"	2018-07-24	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/A/Japan/UMC-810103014/2019"	2019-09-11	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810103022/2019"	2019-10-08	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/Japan/UMC-810102007/2018"	2018-07-15	"Asia"	"Japan"	NA	"unknown"	""	NA	NA
"hRSV/B/South Korea/UMC-820103004/2020"	2020-02-17	"Asia"	"South Korea"	NA	"unknown"	""	NA	NA
