sample	name	start	end	depth
Yale-RSV-0026	Amplicon 13	3722	4124	47484
Yale-RSV-0026	Amplicon 14	4407	4056	-1
Yale-RSV-0026	Amplicon 15	4323	4735	8360
Yale-RSV-0026	Amplicon 16	4654	5055	13662
Yale-RSV-0026	Amplicon 17	4967	5376	128512
Yale-RSV-0026	Amplicon 18	5203	5606	80348
Yale-RSV-0026	Amplicon 19	5503	5886	102922
Yale-RSV-0026	Amplicon 20	5782	6186	131261
Yale-RSV-0026	Amplicon 21	6064	6466	250387
Yale-RSV-0026	Amplicon 22	6377	6783	265606
Yale-RSV-0026	Amplicon 23	6680	7068	219096
Yale-RSV-0026	Amplicon 24	6979	7376	42428
Yale-RSV-0026	Amplicon 25	7273	7701	52808
Yale-RSV-0026	Amplicon 26	7627	7965	256116
Yale-RSV-0026	Amplicon 27	7862	8262	297723
Yale-RSV-0026	Amplicon 28	8160	8574	113295
Yale-RSV-0026	Amplicon 29	8469	8877	106261
Yale-RSV-0026	Amplicon 30	8748	9155	25589
Yale-RSV-0026	Amplicon 31	9061	9467	27164
Yale-RSV-0026	Amplicon 32	9350	9754	55206
Yale-RSV-0026	Amplicon 33	9661	10226	32165
Yale-RSV-0026	Amplicon 34	9977	10382	106985
Yale-RSV-0026	Amplicon 35	10265	10670	146755
Yale-RSV-0026	Amplicon 36	10566	10978	147824
Yale-RSV-0026	Amplicon 37	10878	11285	230314
Yale-RSV-0026	Amplicon 38	11183	11587	111100
Yale-RSV-0026	Amplicon 39	11483	11880	127982
Yale-RSV-0026	Amplicon 40	11775	12186	147673
Yale-RSV-0026	Amplicon 41	12084	12500	194438
Yale-RSV-0026	Amplicon 42	12414	12820	157632
Yale-RSV-0026	Amplicon 43	12712	13121	114736
Yale-RSV-0026	Amplicon 44	13405	13058	-1
Yale-RSV-0026	Amplicon 45	13338	13749	19612
Yale-RSV-0026	Amplicon 46	13618	14033	119483
Yale-RSV-0026	Amplicon 47	13962	14366	281447
Yale-RSV-0026	Amplicon 48	14251	14660	137962
Yale-RSV-0026	Amplicon 49	14578	14979	306431
Yale-RSV-0026	Amplicon 50	14768	15174	153241
sample	name	start	end	depth
Yale-RSV-0029	Amplicon 1	77	496	11829
Yale-RSV-0029	Amplicon 2	321	805	5664
Yale-RSV-0029	Amplicon 3	702	1115	19279
Yale-RSV-0029	Amplicon 4	943	1346	27704
Yale-RSV-0029	Amplicon 5	1226	1661	68476
Yale-RSV-0029	Amplicon 6	1546	1976	29442
Yale-RSV-0029	Amplicon 7	1867	2368	1236
Yale-RSV-0029	Amplicon 8	2236	2631	319
Yale-RSV-0029	Amplicon 9	2541	2902	23119
Yale-RSV-0029	Amplicon 10	2762	3169	15334
Yale-RSV-0029	Amplicon 11	3085	3488	4967
Yale-RSV-0029	Amplicon 12	3398	3807	22094
Yale-RSV-0029	Amplicon 13	3722	4124	56851
Yale-RSV-0029	Amplicon 14	4407	4056	-1
Yale-RSV-0029	Amplicon 15	4323	4735	983
Yale-RSV-0029	Amplicon 16	4654	5055	3003
Yale-RSV-0029	Amplicon 17	4967	5376	579
Yale-RSV-0029	Amplicon 18	5203	5606	611
Yale-RSV-0029	Amplicon 19	5503	5886	30535
Yale-RSV-0029	Amplicon 20	5782	6186	41221
Yale-RSV-0029	Amplicon 21	6064	6466	54603
Yale-RSV-0029	Amplicon 22	6377	6783	93529
Yale-RSV-0029	Amplicon 23	6680	7068	19388
Yale-RSV-0029	Amplicon 24	6979	7376	12875
Yale-RSV-0029	Amplicon 25	7273	7701	1049
Yale-RSV-0029	Amplicon 26	7627	7965	33904
